"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1946157068","Sunderland","E08000024","local authorities: district / unitary (prior to April 2015)",464,11,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",12016,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157068d0d8d20100",23,696
"2011","2011","2011","date",0,0,"1946157069","Blackburn with Darwen","E06000008","local authorities: district / unitary (prior to April 2015)",464,12,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",67033,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157069d0d1d20100",24,696
"2011","2011","2011","date",0,0,"1946157069","Blackburn with Darwen","E06000008","local authorities: district / unitary (prior to April 2015)",464,12,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",5575,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157069d0d8d20100",25,696
"2011","2011","2011","date",0,0,"1946157070","Blackpool","E06000009","local authorities: district / unitary (prior to April 2015)",464,13,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",68540,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157070d0d1d20100",26,696
"2011","2011","2011","date",0,0,"1946157070","Blackpool","E06000009","local authorities: district / unitary (prior to April 2015)",464,13,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",6337,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157070d0d8d20100",27,696
"2011","2011","2011","date",0,0,"1946157071","Cheshire East","E06000049","local authorities: district / unitary (prior to April 2015)",464,14,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",191253,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157071d0d1d20100",28,696
"2011","2011","2011","date",0,0,"1946157071","Cheshire East","E06000049","local authorities: district / unitary (prior to April 2015)",464,14,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",8742,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157071d0d8d20100",29,696
"2011","2011","2011","date",0,0,"1946157072","Cheshire West and Chester","E06000050","local authorities: district / unitary (prior to April 2015)",464,15,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",170778,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157072d0d1d20100",30,696
"2011","2011","2011","date",0,0,"1946157072","Cheshire West and Chester","E06000050","local authorities: district / unitary (prior to April 2015)",464,15,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",8949,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157072d0d8d20100",31,696
"2011","2011","2011","date",0,0,"1946157073","Halton","E06000006","local authorities: district / unitary (prior to April 2015)",464,16,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",63411,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157073d0d1d20100",32,696
